Tanggal,Saham_BBCA
14/01/2021,7020
13/01/2021,7120
12/1/2021,7160
11/1/2021,7345
8/1/2021,7050
7/1/2021,6965
6/1/2021,6945
5/1/2021,7090
4/1/2021,6835
30/12/2020,6770
29/12/2020,6765
28/12/2020,6780
23/12/2020,6725
22/12/2020,6715
21/12/2020,6830
18/12/2020,6800
17/12/2020,6935
16/12/2020,6950
15/12/2020,6790
14/12/2020,6820
11/12/2020,6735
10/12/2020,6575
8/12/2020,6490
7/12/2020,6520
4/12/2020,6390
3/12/2020,6460
2/12/2020,6450
1/12/2020,6395
30/11/2020,6205
27/11/2020,6385
26/11/2020,6480
25/11/2020,6410
24/11/2020,6565
23/11/2020,6600
20/11/2020,6600
19/11/2020,6615
18/11/2020,6570
17/11/2020,6550
16/11/2020,6480
13/11/2020,6390
12/11/2020,6420
11/11/2020,6540
10/11/2020,6480
9/11/2020,6285
6/11/2020,6300
5/11/2020,6150
4/11/2020,5820
3/11/2020,5890
2/11/2020,5820
27/10/2020,5790
26/10/2020,5815
23/10/2020,5770
22/10/2020,5800
21/10/2020,5780
20/10/2020,5805
19/10/2020,5900
16/10/2020,5760
15/10/2020,5785
14/10/2020,5900
13/10/2020,5855
12/10/2020,5855
9/10/2020,5775
8/10/2020,5780
7/10/2020,5755
6/10/2020,5700
5/10/2020,5520
2/10/2020,5505
1/10/2020,5570
30/09/2020,5420
29/09/2020,5505
28/09/2020,5515
25/09/2020,5610
24/09/2020,5445
23/09/2020,5505
22/09/2020,5450
21/09/2020,5605
18/09/2020,5630
17/09/2020,5755
16/09/2020,5750
15/09/2020,5860
14/09/2020,6050
11/9/2020,5905
10/9/2020,5810
9/9/2020,6245
8/9/2020,6335
7/9/2020,6285
4/9/2020,6380
3/9/2020,6500
2/9/2020,6435
1/9/2020,6520
31/08/2020,6275
28/08/2020,6495
27/08/2020,6600
26/08/2020,6340
25/08/2020,6365
24/08/2020,6315
19/08/2020,6330
18/08/2020,6360
14/08/2020,6405
13/08/2020,6300
12/8/2020,6260
11/8/2020,6175
10/8/2020,6120
7/8/2020,6180
6/8/2020,6260
5/8/2020,6205
4/8/2020,6210
3/8/2020,6130
30/07/2020,6240
29/07/2020,6135
28/07/2020,6185
27/07/2020,6100
24/07/2020,6100
23/07/2020,6200
